"lon","lat","uniqueid","eventdate","eventCategory","population","literacy_rate","worker_population","police_proximity","postal_proximity","hospital_proximity","university_proximity","college_proximity","school_proximity","police_density","postal_density","hospital_density","university_density","college_density","school_density"
74.5,15.8667,284636299,"02/04/2014","Appeal",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,290722695,"03/24/2014","Coerce",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,300566753,"06/09/2014","Coerce",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.8667,15.8167,291518432,"03/30/2014","Threaten",4153392,0.734828785725017,0.506975503395779,0.0424855208032469,0.0807234866283876,0.0679201486246546,0.0263233749327154,0.0575217761147643,0.0133953562072439,0,0,0,0,0,0.00193050193050193
74.5,15.8667,302077676,"06/21/2014","Appeal",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,284504588,"02/03/2014","Coerce",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.8667,15.8167,283552772,"01/26/2014","Appeal",4153392,0.734828785725017,0.506975503395779,0.0424855208032469,0.0807234866283876,0.0679201486246546,0.0263233749327154,0.0575217761147643,0.0133953562072439,0,0,0,0,0,0.00193050193050193
74.5,15.8667,302078216,"06/21/2014","Protest",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,295034654,"04/26/2014","Protest",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,286522695,"02/19/2014","Appeal",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,302366398,"06/23/2014","Coerce",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,299610593,"06/02/2014","Coerce",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.5,15.8667,299655820,"06/02/2014","Demand",4153392,0.734828785725017,0.506975503395779,0.00252468727410101,0.113631997156212,0.00129745090817129,0.00628247227908019,0.00147939367176851,0.00103767932762934,0.111111111111111,0,0.019047619047619,0,0.0434782608695652,0.0637065637065637
74.8667,15.8167,291518443,"03/30/2014","Protest",4153392,0.734828785725017,0.506975503395779,0.0424855208032469,0.0807234866283876,0.0679201486246546,0.0263233749327154,0.0575217761147643,0.0133953562072439,0,0,0,0,0,0.00193050193050193
