"lon","lat","uniqueid","eventdate","eventCategory","population","literacy_rate","worker_population","police_proximity","postal_proximity","hospital_proximity","university_proximity","college_proximity","school_proximity","police_density","postal_density","hospital_density","university_density","college_density","school_density"
80.2111,13.105,290415319,"03/21/2014","Coerce",3322435,0.840263541649423,0.462929748813747,0.00582760816737848,0.00388639740275212,0.003313916908457,0.00638457627796997,0.00506890704570452,0.00266293194735199,0.402777777777778,0.385416666666667,0.228571428571429,0,0.0579710144927536,0.121621621621622
80.2,13.3167,294388932,"04/22/2014","Fight",3322435,0.840263541649423,0.462929748813747,0.0155981944582099,0.0423575137708927,0.0137293766237875,0.0207279104508251,0.0142213478147964,0.0367337164771662,0.0138888888888889,0,0.00317460317460317,0,0.0289855072463768,0
80.2111,13.105,291777562,"04/01/2014","Appeal",3322435,0.840263541649423,0.462929748813747,0.00582760816737848,0.00388639740275212,0.003313916908457,0.00638457627796997,0.00506890704570452,0.00266293194735199,0.402777777777778,0.385416666666667,0.228571428571429,0,0.0579710144927536,0.121621621621622
80.2111,13.105,290335446,"03/14/2014","Coerce",3322435,0.840263541649423,0.462929748813747,0.00582760816737848,0.00388639740275212,0.003313916908457,0.00638457627796997,0.00506890704570452,0.00266293194735199,0.402777777777778,0.385416666666667,0.228571428571429,0,0.0579710144927536,0.121621621621622
80.2111,13.105,290478691,"03/22/2014","Appeal",3322435,0.840263541649423,0.462929748813747,0.00582760816737848,0.00388639740275212,0.003313916908457,0.00638457627796997,0.00506890704570452,0.00266293194735199,0.402777777777778,0.385416666666667,0.228571428571429,0,0.0579710144927536,0.121621621621622
80.2111,13.105,294551912,"04/23/2014","Appeal",3322435,0.840263541649423,0.462929748813747,0.00582760816737848,0.00388639740275212,0.003313916908457,0.00638457627796997,0.00506890704570452,0.00266293194735199,0.402777777777778,0.385416666666667,0.228571428571429,0,0.0579710144927536,0.121621621621622
80.2,13.3167,294398439,"04/22/2014","Fight",3322435,0.840263541649423,0.462929748813747,0.0155981944582099,0.0423575137708927,0.0137293766237875,0.0207279104508251,0.0142213478147964,0.0367337164771662,0.0138888888888889,0,0.00317460317460317,0,0.0289855072463768,0
80.2583,13.1306,287808731,"03/01/2014","Assault",3322435,0.840263541649423,0.462929748813747,0.00394008859530914,0.00819841985284283,0.00197054341490781,0.00806799594402564,0.00776237420869476,0.00158064897295658,0.222222222222222,0.1875,0.142857142857143,0,0.0579710144927536,0.0637065637065637
79.9853,13.2178,300347919,"06/07/2014","Appeal",3322435,0.840263541649423,0.462929748813747,0.0306638591991769,0.0311385315300205,0.0278531441678059,0.0207851668825356,0.0396583932045302,0.0284804535041413,0,0,0,0,0,0
79.9853,13.2178,291857377,"03/03/2014","Coerce",3322435,0.840263541649423,0.462929748813747,0.0306638591991769,0.0311385315300205,0.0278531441678059,0.0207851668825356,0.0396583932045302,0.0284804535041413,0,0,0,0,0,0
