"lon","lat","uniqueid","eventdate","eventCategory","population","literacy_rate","worker_population","police_proximity","postal_proximity","hospital_proximity","university_proximity","college_proximity","school_proximity","police_density","postal_density","hospital_density","university_density","college_density","school_density"
78.35,19.1,299462939,"05/31/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,298893085,"05/27/2014","Fight",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299349992,"05/30/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299462940,"05/31/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,298891843,"05/27/2014","Fight",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299349991,"05/30/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299462894,"05/31/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,298942113,"05/27/2014","Fight",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299339078,"05/30/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299462893,"05/31/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,299339077,"05/30/2014","Coerce",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,298893084,"05/27/2014","Fight",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
78.35,19.1,298924153,"05/27/2014","Fight",2431247,0.610117770839409,0.544439540696605,0.229724222016808,0.228756489964711,0.0183469681017944,0.11481980594335,0.0567542338609157,0.054005178419302,0,0,0,0,0,0
79.15,18.4333,293850242,"04/17/2014","Appeal",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293549987,"04/15/2014","Appeal",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293775544,"04/17/2014","Threaten",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293284367,"04/13/2014","Fight",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293852293,"04/17/2014","Appeal",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,294385529,"04/22/2014","Appeal",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293773147,"04/17/2014","Demand",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293697732,"04/16/2014","Appeal",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
79.15,18.4333,293697733,"04/16/2014","Appeal",3440216,0.641479779176656,0.54553783832178,0.119217475890808,0.0605182613288172,0.00467379197161653,0.0796730424506269,0.108178277825441,0.0794375775021822,0,0,0.00317460317460317,0,0,0
78.6828,17.8517,300102959,"06/05/2014","Threaten",2665685,0.614152459874291,0.541025289934857,0.0312216277666911,0.0285038944041119,0.0493776359888929,0.030903334593487,0.0795306793592685,0.0659605890661825,0,0,0,0,0,0
78.85,18.1,295026126,"04/26/2014","Demand",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.6828,17.8517,299949177,"06/04/2014","Appeal",2665685,0.614152459874291,0.541025289934857,0.0312216277666911,0.0285038944041119,0.0493776359888929,0.030903334593487,0.0795306793592685,0.0659605890661825,0,0,0,0,0,0
78.6828,17.8517,295171482,"04/28/2014","Threaten",2665685,0.614152459874291,0.541025289934857,0.0312216277666911,0.0285038944041119,0.0493776359888929,0.030903334593487,0.0795306793592685,0.0659605890661825,0,0,0,0,0,0
78.85,18.1,299658057,"06/02/2014","Fight",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.85,18.1,294990449,"04/26/2014","Coerce",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.6828,17.8517,295389588,"04/29/2014","Threaten",2665685,0.614152459874291,0.541025289934857,0.0312216277666911,0.0285038944041119,0.0493776359888929,0.030903334593487,0.0795306793592685,0.0659605890661825,0,0,0,0,0,0
78.6828,17.8517,299949189,"06/04/2014","Appeal",2665685,0.614152459874291,0.541025289934857,0.0312216277666911,0.0285038944041119,0.0493776359888929,0.030903334593487,0.0795306793592685,0.0659605890661825,0,0,0,0,0,0
78.85,18.1,295026117,"04/26/2014","Demand",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.5372,17.8217,299892486,"06/04/2014","Coerce",2665685,0.614152459874291,0.541025289934857,0.0553838717397321,0.0557116316812268,0.054883827947531,0.0272247266452637,0.0679579406875786,0.0498822400516717,0,0,0,0,0,0
78.6828,17.8517,295399394,"04/29/2014","Fight",2665685,0.614152459874291,0.541025289934857,0.0312216277666911,0.0285038944041119,0.0493776359888929,0.030903334593487,0.0795306793592685,0.0659605890661825,0,0,0,0,0,0
78.85,18.1,299683496,"06/02/2014","Fight",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.85,18.1,299683649,"06/02/2014","Fight",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.85,18.1,299643612,"06/02/2014","Fight",2665685,0.614152459874291,0.541025289934857,0.070110212886035,0.059566238344256,0.0198259568373053,0.0506012046469033,0.102568905046182,0.0366738718123075,0,0,0,0,0,0
78.4744,17.3753,293060769,"04/11/2014","Threaten",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
